,종목분류지표,기업코드,기업명
0,PEQV,"[3920, 6280, 100, 225570, 240810, 361390, 54780]","['남양유업', '녹십자', '유한양행', '넥슨게임즈', '원익IPS', '제노코', '키이스트']"
1,PEQv,"[373220, 20150, 68270, 450080, 9420, 317850, 64480, 411080, 68760, 96530, 232140, 122870, 42000, 163730, 90710]","['LG에너지솔루션', '롯데에너지머티리얼즈', '셀트리온', '에코프로머티', '한올바이오파마', '대모', '브리지텍', '샌즈랩', '셀트리온제약', '씨젠', '와이씨', '와이지엔터테인먼트', '카페24', '핑거', '휴림로봇']"
2,PEqV,"[282330, 2210, 32350, 102460, 249420, 8770, 298000, 222800, 222110]","['BGF리테일', '동성제약', '롯데관광개발', '이연제약', '일동제약', '호텔신라', '효성화학', '심텍', '팬젠']"
3,PEqv,"[10620, 329180, 1470, 10140, 112610, 66970, 377300, 12450, 42660, 28300, 255220, 317330, 207760, 304100, 65350, 140670, 298380, 86520, 247540, 236810, 348370, 32790, 417860, 39200, 226950, 112040, 18000, 322510, 314130, 270520, 278280, 313760, 45970, 89030, 322180, 87010, 389140]","['HD현대미포', 'HD현대중공업', '삼부토건', '삼성중공업', '씨에스윈드', '엘앤에프', '카카오페이', '한화에어로스페이스', '한화오션', 'HLB', 'SG', '덕산테코피아', '미스터블루', '솔트룩스', '신성델타테크', '알에스오토메이션', '에이비엘바이오', '에코프로', '에코프로비엠', '엔비티', '엔켐', '엠젠솔루션', '오브젠', '오스코텍', '올릭스', '위메이드', '유니슨', '제이엘케이', '지놈앤컴퍼니', '지오릿에너지', '천보', '캐리', '코아시아', '테크윙', '티라유텍', '펩트론', '포바이포']"
4,PeQV,"[34120, 860, 115390, 11390, 8700, 7110, 950210, 17960, 60370, 184230, 52220, 7720, 48910, 260930, 25980, 265740, 78340, 110790, 62860, 106240, 41440, 61250]","['SBS', '강남제비스코', '락앤락', '부산산업', '아남전자', '일신석재', '프레스티지바이오파마', '한국카본', 'LS마린솔루션', 'SGA솔루션즈', 'iMBC', '대명소노시즌', '대원미디어', '씨티케이', '아난티', '엔에프씨', '컴투스', '크리스에프앤씨', '티엘아이', '파인테크닉스', '현대에버다임', '화일약품']"
5,PeQv,"[51910, 361610, 83420, 251270, 353200, 1440, 11170, 11210, 4020, 282720, 84650, 277810, 253840, 99320, 189300, 39290, 263860, 205470]","['LG화학', 'SK아이이테크놀로지', '그린케미칼', '넷마블', '대덕전자', '대한전선', '롯데케미칼', '현대위아', '현대제철', '금양그린파워', '랩지노믹스', '레인보우로보틱스', '수젠텍', '쎄트렉아이', '인텔리안테크', '인포뱅크', '지니언스', '휴마시스']"
6,PeqV,"[375500, 7070, 97230, 18670, 2990, 6370, 6340, 5960, 23530, 5300, 3000, 5390, 20560, 14990, 17810, 4960, 18880, 720, 21320, 67990, 900100, 293490, 134580]","['DL이앤씨', 'GS리테일', 'HJ중공업', 'SK가스', '금호건설', '대구백화점', '대원전선', '동부건설', '롯데쇼핑', '롯데칠성', '부광약품', '신성통상', '아시아나항공', '인디에프', '풀무원', '한신공영', '한온시스템', '현대건설', 'KCC건설', '도이치모터스', '애머릿지', '카카오게임즈', '탑코미디어']"
7,Peqv,"[9540, 34220, 6260, 11790, 96770, 139480, 11000, 7810, 20120, 9410, 47050, 2320, 880, 9830, 35080, 64260, 39560, 25900, 228670, 38290, 43100, 159910, 429270, 33160, 82850]","['HD한국조선해양', 'LG디스플레이', 'LS', 'SKC', 'SK이노베이션', '이마트', '진원생명과학', '코리아써키트', '키다리스튜디오', '태영건설', '포스코인터내셔널', '한진', '한화', '한화솔루션', '그래디언트', '다날', '다산네트웍스', '동화기업', '레이', '마크로젠', '솔고바이오', '스킨앤스킨', '시지트로닉스', '엠케이전자', '우리바이오']"
8,pEQV,"[383220, 114090, 69620, 207940, 3230, 90430, 78520, 12600, 128940, 130660, 213420, 33500, 99430, 357780, 253450, 352480, 119610, 241710, 214150, 237880, 64760, 140860, 263750, 319660, 145020]","['F&F', 'GKL', '대웅제약', '삼성바이오로직스', '삼양식품', '아모레퍼시픽', '에이블씨엔씨', '청호ICT', '한미약품', '한전산업', '덕산네오룩스', '동성화인텍', '바이오플러스', '솔브레인', '스튜디오드래곤', '씨앤씨인터내셔널', '인터로조', '코스메카코리아', '클래시스', '클리오', '티씨케이', '파크시스템스', '펄어비스', '피에스케이', '휴젤']"
9,pEQv,"[267260, 1060, 178920, 12510, 145720, 6400, 7660, 103590, 185750, 259960, 352820, 42700, 52690, 180640, 83450, 403870, 95340, 67160, 98460, 121600, 290670, 5290, 110990, 263720, 376300, 141080, 58470, 18290, 138580, 250, 148150, 257720, 196170, 101490, 41510, 39440, 237690, 383310, 309930, 39030, 950140, 33100, 287410, 204270, 36930, 214450, 256840]","['HD현대일렉트릭', 'JW중외제약', 'PI첨단소재', '더존비즈온', '덴티움', '삼성SDI', '이수페타시스', '일진전기', '종근당', '크래프톤', '하이브', '한미반도체', '한전기술', '한진칼', 'GST', 'HPSP', 'ISC', 'SOOP', '고영', '나노신소재', '대보마그네틱', '동진쎄미켐', '디아이티', '디앤씨미디어', '디어유', '리가켐바이오', '리노공업', '브이티', '비즈니스온', '삼천당제약', '세경하이테크', '실리콘투', '알테오젠', '에스앤에스텍', '에스엠', '에스티아이', '에스티팜', '에코프로에이치엔', '오하임앤컴퍼니', '이오테크닉스', '잉글우드랩', '제룡전기', '제이시스메디칼', '제이앤티씨', '주성엔지니어링', '파마리서치', '한국비엔씨']"
10,pEqV,"[89590, 272450, 192820, 91810, 39130, 47810, 9240, 104620, 68240, 80160, 160600]","['제주항공', '진에어', '코스맥스', '티웨이항공', '하나투어', '한국항공우주', '한샘', '노랑풍선', '다원시스', '모두투어', '이큐셀']"
11,pEqv,"[79550, 660, 150, 35720, 3670, 82740, 64350, 298040, 298050, 94480, 78600, 194480, 226340, 83650, 178320, 159010, 89010, 137400]","['LIG넥스원', 'SK하이닉스', '두산', '카카오', '포스코퓨처엠', '한화엔진', '현대로템', '효성중공업', '효성첨단소재', '갤럭시아머니트리', '대주전자재료', '데브시스터즈', '본느', '비에이치아이', '서진시스템', '아스플로', '켐트로닉스', '피엔티']"
12,peQV,"[78930, 92230, 33780, 93050, 51900, 108320, 64960, 35250, 9450, 9290, 339770, 4370, 3220, 26960, 20, 33920, 3850, 90460, 18260, 5930, 5500, 31430, 18250, 97520, 111770, 7310, 33270, 7570, 30000, 34230, 161390, 20000, 105630, 51600, 272210, 57050, 16580, 195940, 46440, 35600, 60720, 215000, 95660, 78140, 6620, 86450, 13120, 43150, 14620, 39310, 119830, 1540, 260970, 56190, 64850, 52420, 101160, 41830, 36890, 94850, 91700, 52260]","['GS', 'KPX홀딩스', 'KT&G', 'LF', 'LG생활건강', 'LX세미콘', 'SNT모티브', '강원랜드', '경동나비엔', '광동제약', '교촌에프앤비', '농심', '대원제약', '동서', '동화약품', '무학', '보령', '비에이치', '삼성에스디에스', '삼성전자', '삼진제약', '신세계인터내셔날', '애경산업', '엠씨넥스', '영원무역', '오뚜기', '유나이티드제약', '일양약품', '제일기획', '파라다이스', '한국타이어앤테크놀로지', '한섬', '한세실업', '한전KPS', '한화시스템', '현대홈쇼핑', '환인제약', 'HK이노엔', 'KG모빌리언스', 'KG이니시스', 'KH바텍', '골프존', '네오위즈', '대봉엘에스', '동구바이오제약', '동국제약', '동원개발', '바텍', '성광벤드', '세중', '아이텍', '안국약품', '에스앤디', '에스에프에이', '에프앤가이드', '오성첨단소재', '월덱스', '인바디', '진성티이씨', '참좋은여행', '파트론', '현대바이오랜드']"
13,peQv,"[267270, 11200, 11070, 35420, 10060, 5490, 100090, 71970, 11420, 11780, 270, 163560, 241560, 28050, 28260, 9150, 4490, 36570, 271560, 214420, 28670, 195870, 12330, 10690, 86960, 33790, 272290, 119860, 30520]","['HD현대건설기계', 'HMM', 'LG이노텍', 'NAVER', 'OCI홀딩스', 'POSCO홀딩스', 'SK오션플랜트', 'STX중공업', '갤럭시아에스엠', '금호석유', '기아', '동일고무벨트', '두산밥캣', '삼성E&A', '삼성물산', '삼성전기', '세방전지', '엔씨소프트', '오리온', '토니모리', '팬오션', '해성디에스', '현대모비스', '화신', 'MDS테크', '스카이문스테크놀로지', '이녹스첨단소재', '커넥트웨이브', '한글과컴퓨터']"
14,peqV,"[97950, 12030, 210, 7340, 6360, 294870, 267250, 9070, 30200, 32640, 66570, 10950, 17670, 13580, 2350, 47040, 3490, 4170, 214320, 80, 15760, 161890, 69960, 17800, 38390, 37440]","['CJ제일제당', 'DB', 'DL', 'DN오토모티브', 'GS건설', 'HDC현대산업개발', 'HD현대', 'KCTC', 'KT', 'LG유플러스', 'LG전자', 'S-Oil', 'SK텔레콤', '계룡건설', '넥센타이어', '대우건설', '대한항공', '신세계', '이노션', '하이트진로', '한국전력', '한국콜마', '현대백화점', '현대엘리베이', '레드캡투어', '희림']"
15,peqv,"[42670, 2380, 34730, 73240, 4140, 34020, 10780, 17370, 36460, 5380, 39840, 36090, 57680, 234340]","['HD현대인프라코어', 'KCC', 'SK', '금호타이어', '동방', '두산에너빌리티', '아이에스동서', '우신시스템', '한국가스공사', '현대차', '디오', '위지트', '티사이언티픽', '헥토파이낸셜']"
